State,Year,Total_co2_emission,Average_Price,resident_population,Total_energy,Total_renewable_energy,,
US,2007,5919.121363,18.34,301231,71224772,5540051,,
US,2005,5893.552285,15.57,295517,69478650,5657879,,"State,Year,Total_co2_emission,Average_Price,resident_population,Total_energy,Total_renewable_energy"
US,2004,5873.565342,12.9,292805,70259294,5576869,,
US,2006,5822.296551,17.4,298380,70616450,5870434,,
US,2000,5797.902868,10.33,282162,71296592,5868518,,
US,2003,5777.692218,11.44,290108,69906269,5541011,,
US,2008,5726.287029,21.53,304094,73006805,5817151,,
US,2002,5725.245815,10.1,287625,70714263,5422726,,
US,2001,5685.468162,10.78,284969,71702773,4911635,,
US,1999,5606.000407,8.58,279040,71651776,6305710,,
US,1998,5562.034442,8.22,275854,72916246,6290261,,
US,1997,5540.323209,8.83,272647,73032371,6827986,,
US,2010,5514.297402,18.92,309326,74692403,6344556,,
US,2011,5382.449527,21.86,311580,77859295,7194676,,
US,2014,5350.26544,21.33,318386,87613590,7670927,,
US,2009,5313.844121,17.26,306772,72679848,6054468,,
US,2013,5301.451176,21.42,316058,81705691,7445307,,
US,2015,5207.386647,17.3,320743,88197690,7488974,,
US,2012,5162.563034,21.83,313874,79131447,6936925,,
US,2016,5160.99085,15.94,323071,84247690,8053314,,
TX,2016,653.821691,12.5,27937,17079792,645737,,
TX,2002,651.131551,7.96,21690,9293524,121027,,
TX,1998,647.354814,6.08,20158,10144307,110071,,
TX,2000,647.330647,8.74,20944,9703693,96071,,
TX,2003,644.933595,9.76,22031,9303094,115456,,
TX,1997,641.286216,6.9,19740,10220538,122666,,
TX,2001,640.639196,8.86,21320,9527360,96535,,
TX,2004,637.837982,11.41,22394,9180382,120812,,
TX,1999,623.391844,6.71,20558,9544693,93993,,
TX,2013,620.003757,19.1,26489,15678239,448021,,
TX,2015,618.551402,13.69,27487,18100356,526098,,
TX,2014,618.026214,18.93,26977,17638649,486452,,
TX,2006,611.268529,16.78,23360,9725664,152231,,
TX,2007,608.590975,17.79,23832,10320336,191762,,
TX,2005,601.565397,14.72,22778,9405375,137516,,
TX,2011,595.184034,20.53,25646,12576777,395241,,
TX,2012,590.116325,19.26,26090,14196888,406314,,
TX,2010,576.234698,17.41,25243,11415465,354583,,
TX,2008,574.867435,21.71,24309,11330452,272381,,
TX,2009,541.13013,15.75,24802,11099823,272327,,
CA,2007,397.347483,20.15,36250,2617351,619334,,
CA,2006,392.227025,19.4,36021,2799909,816337,,
CA,2004,386.797263,15.17,35575,2761999,696234,,
CA,2005,383.748295,17.46,35828,2807510,738900,,
CA,2001,381.69181,13,34479,2875228,607234,,
CA,2008,381.485118,23.25,36604,2518661,590479,,
CA,2002,380.037324,12.07,34872,2925186,675131,,
CA,2000,377.223937,12.05,33988,3066949,735871,,
CA,2003,368.907884,13.83,35253,2902532,718110,,
CA,2009,368.134156,18.68,36961,2490620,639651,,
CA,2010,362.770624,21.13,37321,2526549,697991,,
CA,2016,361.354016,19.9,39209,2431124,903915,,
CA,1999,360.920382,10.04,33499,3102915,759406,,
CA,2015,360.786696,21.88,38953,2361858,719166,,
CA,1998,357.470666,9.32,32988,3190783,832334,,
CA,2013,355.993407,25.08,38281,2372246,719604,,
CA,2012,353.125564,25.13,37961,2317708,677346,,
CA,2014,352.942992,25.51,38625,2383159,721739,,
CA,2011,348.618911,24.5,37642,2632438,806477,,
CA,1997,346.807332,10.36,32486,3048183,759731,,
PA,2005,278.689569,15.66,12450,2698967,104192,,
PA,2007,275.723317,18.34,12564,2680521,105171,,
PA,2004,275.46,13.13,12411,2738355,110368,,
PA,2000,275.352414,10.7,12284,2994308,113589,,
PA,1997,275.256564,9.4,12228,2899144,114660,,
PA,2006,272.914499,17.57,12511,2675211,107197,,
PA,2003,272.753471,11.81,12375,2665769,109944,,
OH,2005,270.740485,15.39,11463,935378,54265,,
PA,2002,269.084464,10.81,12331,2803426,96600,,
OH,2003,267.547684,11.49,11435,805667,47969,,
PA,2008,267.545676,21.41,12612,2754011,114904,,
OH,2007,267.331718,17.77,11500,898873,56307,,
OH,2000,264.269557,10.42,11364,930384,79331,,
PA,1998,264.083859,9.15,12246,3033214,110544,,
OH,2006,263.545492,17.14,11481,910333,54970,,
OH,2004,262.667157,12.84,11452,914363,51268,,
PA,1999,262.381738,9.14,12264,3038150,109245,,
PA,2001,262.354272,11.26,12299,2943769,95726,,
FL,2005,260.659213,17.97,17842,501924,183175,,
OH,2008,259.921044,20.36,11515,1045923,60452,,
OH,2002,259.734751,10.37,11408,799356,38155,,
OH,1997,259.546881,9.09,11277,1095988,74188,,
FL,2006,259.143306,20.75,18167,530680,185564,,
OH,1998,257.885527,8.79,11312,1057206,67210,,
FL,2004,257.283451,15.21,17415,526187,179462,,
FL,2007,256.841926,21.67,18368,511826,190489,,
OH,1999,256.79581,8.99,11335,925533,74350,,
PA,2010,254.384712,19.61,12711,3072420,139053,,
OH,2001,253.509786,10.9,11387,951073,51101,,
PA,2011,247.200853,22.72,12745,3878979,161069,,
OH,2010,246.76384,18.08,11539,1036459,63500,,
PA,2013,246.265128,21.53,12777,5882640,182188,,
PA,2014,245.937469,21.29,12789,7148949,180688,,
FL,2003,245.931286,13.59,17004,534824,188473,,
PA,2009,242.488171,18.14,12667,2678366,126253,,
FL,2010,242.299403,22.1,18846,500472,227343,,
IL,2005,242.005413,14.75,12610,1896730,35726,,
FL,2002,241.791141,12.16,16689,552266,174327,,
IL,2007,241.581911,17.3,12696,1973705,37702,,
IL,2008,240.006206,19.87,12747,2003897,56069,,
FL,2000,239.764719,12.07,16048,567525,194952,,
FL,2001,238.58081,12.62,16357,521446,158038,,
FL,2008,238.555516,25.21,18527,544961,195231,,
PA,2012,236.423051,22.76,12767,4738426,151689,,
IN,2000,236.274136,8.23,6092,678282,35023,,
IL,2004,235.909139,12.47,12590,1900138,48278,,
IN,2003,235.13001,9.17,6197,859937,39773,,
OH,2011,235.103906,20.47,11543,1071032,65673,,
OH,2009,235.058217,16.99,11529,1044810,58756,,
IN,2004,234.515201,10.19,6233,854703,40866,,
IL,2006,233.896947,15.91,12644,1918055,31290,,
IN,2005,233.503385,12.6,6279,840792,45196,,
IL,2014,232.411904,18.87,12889,2682010,132577,,
FL,2015,232.186567,20.44,20224,545059,237162,,
FL,1998,232.039511,10.17,15487,574965,205485,,
IL,2000,231.634972,10.47,12434,1888998,47031,,
FL,1999,231.373412,10.44,15759,570597,204114,,
OH,2014,231.370205,19.78,11603,1549972,84495,,
IN,2006,231.343898,13.91,6333,845555,35505,,
IN,2007,231.193122,14.46,6380,868290,34565,,
FL,2016,230.06299,18.81,20630,551964,233163,,
IL,2010,229.930802,17.26,12841,2091364,85568,,
PA,2015,229.768452,17.81,12786,7466903,168603,,
IL,2013,229.525227,18.35,12898,2519330,127643,,
OH,2013,229.454563,19.92,11577,1152338,84477,,
IN,2002,229.232764,8.19,6156,854384,39228,,
FL,2011,229.219509,25.51,19093,483006,225551,,
IL,2011,228.791302,19.38,12867,2188720,92344,,
IL,2003,228.692203,11.25,12556,1935502,47039,,
FL,2014,227.712624,25.1,19860,535578,230317,,
IN,2008,226.770458,17.08,6425,942352,43404,,
IN,2001,225.946124,8.82,6128,875593,39798,,
LA,2000,225.675622,7.6,4472,2759529,142328,,
LA,2008,225.571619,19.87,4436,2313109,109279,,
IL,2002,225.285936,10.13,12526,1912109,46287,,
IL,1997,225.013071,9.24,12186,1659524,54660,,
IL,2009,224.815041,15.79,12797,2081720,69539,,
IL,1999,224.317091,8.73,12359,1957536,51593,,
FL,2009,224.272893,21.32,18653,522486,213642,,
LA,2011,224.159053,17.55,4575,3978121,111498,,
IL,2001,222.953102,11.1,12488,1908364,44170,,
FL,2012,222.884839,25.61,19326,422918,222492,,
IN,1999,222.570757,7.21,6045,812026,35587,,
LA,2007,222.401109,15.14,4376,2402980,150009,,
FL,2013,222.020989,25.19,19563,523300,233226,,
LA,2010,221.411891,14.81,4545,3178682,112652,,
LA,1997,220.867393,5.7,4421,3024352,149628,,
FL,1997,218.975252,10.84,15186,518157,231308,,
LA,2006,217.521419,14.25,4303,2387045,149461,,
PA,2016,217.408711,16.65,12784,7887773,164953,,
IN,1998,216.996442,7.07,5999,870583,36011,,
IN,2010,216.286644,15.01,6490,988588,69118,,
IN,1997,216.228795,7.4,5955,845617,38775,,
IL,2012,216.023707,19.18,12884,2440820,104195,,
IL,1998,215.161832,8.81,12272,1669295,48533,,
OH,2012,215.158072,20.53,11548,1070577,72635,,
IL,2015,215.031437,15.57,12864,2660468,132106,,
LA,2004,214.007227,10.12,4552,2515687,185640,,
NY,2004,213.099068,15.67,19172,830908,358877,,
OH,2015,212.65892,16.5,11618,2075992,77648,,
LA,2012,211.826332,15.24,4601,3790128,108783,,
NY,2000,211.587611,13.19,19002,777274,429206,,
NY,2003,210.817138,14.44,19176,819272,357371,,
NY,2005,209.393654,19.01,19133,866207,365539,,
LA,2016,209.129147,9.24,4678,2555429,160024,,
IN,2011,209.012673,17.89,6516,1063382,72234,,
LA,2009,208.8199,12.79,4492,2469342,106939,,
LA,2002,207.011665,7.02,4497,2574015,140938,,
OH,2016,206.274364,15.53,11635,2410570,74121,,
LA,1998,206.181785,5.08,4440,3024760,147482,,
NY,2001,205.802645,13.71,19083,802148,350748,,
LA,2005,205.39613,13.13,4577,2332825,151309,,
IN,2014,205.295586,18.09,6594,1124390,77635,,
NY,1999,205.105155,10.88,18883,823741,419145,,
